,project_name,html_url
1747270,vrapper/vrapper,https://github.com/vrapper/vrapper
1377023,puniverse/quasar,https://github.com/puniverse/quasar
1665257,Netflix/eureka,https://github.com/Netflix/eureka
1845778,apache/nutch,https://github.com/apache/nutch
1851711,apache/cassandra,https://github.com/apache/cassandra
1565298,linkedin/camus,https://github.com/linkedin/camus
294834,h2oai/h2o-dev,https://github.com/h2oai/h2o-dev
145333,naver/pinpoint,https://github.com/naver/pinpoint
1195725,square/wire,https://github.com/square/wire
1390838,albertlatacz/java-repl,https://github.com/albertlatacz/java-repl
1019721,real-logic/simple-binary-encoding,https://github.com/real-logic/simple-binary-encoding
1342905,koush/ion,https://github.com/koush/ion
1731079,dain/leveldb,https://github.com/dain/leveldb
1411977,fearofcode/bateman,https://github.com/fearofcode/bateman
1852746,dynjs/dynjs,https://github.com/dynjs/dynjs
453145,nr4bt/wasp,https://github.com/nr4bt/wasp
1851128,excilys/androidannotations,https://github.com/excilys/androidannotations
1845490,peter-lawrey/Java-Chronicle,https://github.com/peter-lawrey/Java-Chronicle
1350098,googlemaps/android-maps-utils,https://github.com/googlemaps/android-maps-utils
993672,WhisperSystems/BitHub,https://github.com/WhisperSystems/BitHub
1846084,tinkerpop/blueprints,https://github.com/tinkerpop/blueprints
1849799,novoda/ImageLoader,https://github.com/novoda/ImageLoader
1045174,bitcoinj/bitcoinj,https://github.com/bitcoinj/bitcoinj
1850704,sikuli/sikuli,https://github.com/sikuli/sikuli
1203189,alibaba/otter,https://github.com/alibaba/otter
1087626,facebook/rebound,https://github.com/facebook/rebound
1850373,zxing/zxing,https://github.com/zxing/zxing
911032,igniterealtime/Smack,https://github.com/igniterealtime/Smack
1851351,jprante/elasticsearch-river-jdbc,https://github.com/jprante/elasticsearch-river-jdbc
1058663,cloudera/oryx,https://github.com/cloudera/oryx
1513626,mttkay/droid-fu,https://github.com/mttkay/droid-fu
1171634,code4craft/netty-learning,https://github.com/code4craft/netty-learning
1847140,greenrobot/EventBus,https://github.com/greenrobot/EventBus
1604179,zeromq/jeromq,https://github.com/zeromq/jeromq
1183033,spring-projects/spring-petclinic,https://github.com/spring-projects/spring-petclinic
1635032,JesusFreke/smali,https://github.com/JesusFreke/smali
1038196,opentripplanner/OpenTripPlanner,https://github.com/opentripplanner/OpenTripPlanner
267821,h2oai/h2o,https://github.com/h2oai/h2o
276427,apache/drill,https://github.com/apache/drill
1852328,ervandew/eclim,https://github.com/ervandew/eclim
1575026,dianping/cat,https://github.com/dianping/cat
1746709,eclipse-color-theme/eclipse-color-theme,https://github.com/eclipse-color-theme/eclipse-color-theme
441709,Realm/realm-java,https://github.com/Realm/realm-java
450508,Pixplicity/MultiViewPager,https://github.com/Pixplicity/MultiViewPager
1043197,phishman3579/java-algorithms-implementation,https://github.com/phishman3579/java-algorithms-implementation
1852920,liquibase/liquibase,https://github.com/liquibase/liquibase
1852905,Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server
1173511,bluejamesbond/TextJustify-Android,https://github.com/bluejamesbond/TextJustify-Android
6952,hankcs/HanLP,https://github.com/hankcs/HanLP
1848849,matburt/mobileorg-android,https://github.com/matburt/mobileorg-android
1846314,msgpack/msgpack-java,https://github.com/msgpack/msgpack-java
1821303,timmolter/XChange,https://github.com/timmolter/XChange
924209,zhangkaitao/shiro-example,https://github.com/zhangkaitao/shiro-example
759147,douglascraigschmidt/POSA-14,https://github.com/douglascraigschmidt/POSA-14
361633,immutables/immutables,https://github.com/immutables/immutables
1850853,liferay/liferay-portal,https://github.com/liferay/liferay-portal
1405155,amplab/tachyon,https://github.com/amplab/tachyon
1440658,alibaba/canal,https://github.com/alibaba/canal
1852714,gradle/gradle,https://github.com/gradle/gradle
1847265,gitblit/gitblit,https://github.com/gitblit/gitblit
1418405,nhaarman/ListViewAnimations,https://github.com/nhaarman/ListViewAnimations
1603667,OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine
1852247,Bukkit/Bukkit,https://github.com/Bukkit/Bukkit
